sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
臺東,臺東縣,39,,良好,0.6,0.21,60,42,10,5,3,3.9,0.7,3.2,31,"2025-05-11 15:00",,0.2,5.2,13,0,121.15045,22.755358,62
恆春,屏東縣,40,,良好,0.8,0.17,40,43,19,6,2,3.6,1.2,4.3,355,"2025-05-11 15:00",,0.1,4.3,10,0,120.788928,21.958069,61
潮州,屏東縣,38,,良好,0.3,0.16,32,29,12,11,3,3.5,0.4,1.6,18,"2025-05-11 15:00",,0.1,8,23,0,120.561175,22.523108,60
屏東,屏東縣,29,,良好,1.2,0.21,36,31,18,9,5,6.2,0.9,1.6,3,"2025-05-11 15:00",,0.2,7.3,13,0,120.488033,22.673081,59
小港,高雄市,43,,良好,0.9,0.35,35,36,21,14,11,14,2,1.6,326,"2025-05-11 15:00",,0.3,10.6,18,1,120.337736,22.565833,58
前鎮,高雄市,48,,良好,0.2,0.38,37,38,22,15,10,12.8,2.4,2.4,17,"2025-05-11 15:00",,0.3,12,20,0,120.30833356,22.6044507,57
前金,高雄市,47,,良好,0.2,0.33,40,40,34,17,6,7.7,1,2.6,357,"2025-05-11 15:00",,0.2,11.6,27,0,120.28676111,22.63390278,56
左營,高雄市,43,,良好,0.6,0.31,37,37,24,11,8,9.5,1.3,2.9,31,"2025-05-11 15:00",,0.2,10.6,22,0,120.292917,22.674861,54
楠梓,高雄市,52,細懸浮微粒,普通,1.1,0.24,36,36,19,13,6,7.8,0.9,2.2,42,"2025-05-11 15:00",,0.2,12.7,21,1,120.328289,22.733667,53
林園,高雄市,48,,良好,0.5,0.24,38,32,24,14,7,8.4,0.7,2.9,16,"2025-05-11 15:00",,0.3,11.8,26,0,120.41175,22.4795,52
大寮,高雄市,48,,良好,2.2,0.22,35,33,20,18,5,6.1,0.7,1.6,4,"2025-05-11 15:00",,0.2,12,21,0,120.425311,22.56413611,51
鳳山,高雄市,63,細懸浮微粒,普通,1.2,0.49,33,35,21,24,11,12.7,1.4,0.7,305,"2025-05-11 15:00",,0.4,16.8,20,1,120.357422,22.628126,50
仁武,高雄市,47,,良好,0.3,0.4,35,34,18,16,8,9.5,1,3.5,354,"2025-05-11 15:00",,0.3,11.7,17,1,120.332631,22.689056,49
橋頭,高雄市,47,,良好,0.4,0.24,38,37,17,14,5,7.1,1.6,2.2,26,"2025-05-11 15:00",,0.2,11.6,21,0,120.305689,22.757506,48
美濃,高雄市,29,,良好,0.6,0.2,32,31,11,7,2,2.6,0.3,0.3,358,"2025-05-11 15:00",,0.2,6.7,10,0,120.530542,22.883583,47
臺南,臺南市,46,,良好,0.5,0.22,45,40,12,10,6,7.2,1.1,3.1,19,"2025-05-11 15:00",,0.2,11.3,20,0,120.21947897,22.98928311,46
安南,臺南市,41,,良好,0.3,0.25,51,41,12,6,4,5.3,1,3.7,2,"2025-05-11 15:00",,0.2,10.2,18,0,120.2175,23.048197,45
善化,臺南市,39,,良好,0.8,0.21,48,35,10,7,3,4.1,1.1,4,14,"2025-05-11 15:00",,0.2,9.7,18,1,120.29740529,23.11337642,44
新營,臺南市,38,,良好,0.5,0.21,55,40,7,6,3,3.9,0.5,3.4,30,"2025-05-11 15:00",,0.2,9.5,14,0,120.31725,23.305633,43
嘉義,嘉義市,38,,良好,1.4,0.24,59,41,9,5,5,6.1,0.5,2.8,15,"2025-05-11 15:00",,0.2,8.2,14,2,120.44125148,23.46477865,42
臺西,雲林縣,58,臭氧八小時,普通,0.9,0.27,55,57,13,5,4,5.3,0.7,3.6,40,"2025-05-11 15:00",,0.2,6.5,19,1,120.19933333,23.702175,41
朴子,嘉義縣,44,,良好,0.9,0.18,55,48,9,6,3,4.2,0.3,1.4,37,"2025-05-11 15:00",,0.1,8.9,12,1,120.2478,23.46538,40
新港,嘉義縣,43,,良好,1.2,0.21,60,46,5,2,4,5.6,0.9,2.3,32,"2025-05-11 15:00",,0.2,6.8,11,1,120.345531,23.554839,39
崙背,雲林縣,44,,良好,0.8,0.25,58,47,9,6,3,3.6,0.5,1,38,"2025-05-11 15:00",,0.2,7,12,0,120.348742,23.757547,38
斗六,雲林縣,40,,良好,0.9,0.23,62,43,7,6,3,6,2,1.8,353,"2025-05-11 15:00",,0.2,8.3,14,1,120.544994,23.711853,37
南投,南投縣,37,,良好,0.6,0.26,57,40,8,6,7,8.1,1,1.3,331,"2025-05-11 15:00",,0.2,6.6,13,0,120.685306,23.913,36
二林,彰化縣,47,,良好,0.9,0.24,60,51,14,7,2,3.6,0.7,3.2,26,"2025-05-11 15:00",,0.2,8,20,1,120.409653,23.925175,35
線西,彰化縣,48,,良好,0.7,0.22,60,52,6,6,7,8.6,1.3,3.8,39,"2025-05-11 15:00",,0.2,8.6,12,1,120.469061,24.131672,34
彰化,彰化縣,40,,良好,0.5,0.26,50,43,3,4,9,10.5,0.6,0.9,14,"2025-05-11 15:00",,0.2,5.7,8,0,120.541519,24.066,33
西屯,臺中市,45,,良好,0.8,0.21,59,49,3,2,4,5.2,0.7,2.9,3,"2025-05-11 15:00",,0.2,6.3,11,0,120.616917,24.162197,32
忠明,臺中市,39,,良好,1.3,0.28,51,42,5,5,6,7.3,0.7,1.1,332,"2025-05-11 15:00",,0.2,5.8,8,1,120.641092,24.151958,31
大里,臺中市,38,,良好,1.1,0.3,53,41,5,5,9,10.3,1,1.1,319,"2025-05-11 15:00",,0.2,5.8,10,0,120.67844444,24.09961111,30
沙鹿,臺中市,48,,良好,0.9,0.23,59,52,7,3,4,5.6,0.8,2.3,354,"2025-05-11 15:00",,0.2,5.6,13,0,120.568794,24.225628,29
豐原,臺中市,39,,良好,0.5,0.23,58,42,5,2,2,3,0.7,2.8,45,"2025-05-11 15:00",,0.2,3.4,10,0,120.74252414,24.25699731,28
三義,苗栗縣,44,,良好,0.6,0.21,63,47,0,2,2,3.8,1.6,3.6,18,"2025-05-11 15:00",,0.2,5,8,0,120.75956754,24.38248443,27
苗栗,苗栗縣,46,,良好,0.7,0.23,56,50,3,6,4,5.9,1.2,2.8,22,"2025-05-11 15:00",,0.2,8.5,10,1,120.82011468,24.56499183,26
頭份,苗栗縣,46,,良好,1,0.25,57,50,8,7,7,8.7,1.2,2.6,65,"2025-05-11 15:00",,0.2,8.8,12,1,120.89869286,24.69690679,25
新竹,新竹市,50,,良好,0,0.29,57,54,6,7,9,10.5,0.7,1.2,38,"2025-05-11 15:00",,0.2,9.3,8,0,120.97236752,24.8056356,24
竹東,新竹縣,44,,良好,0.4,0.24,59,47,3,7,4,5.3,1,1.4,94,"2025-05-11 15:00",,0.2,4.8,9,0,121.08895493,24.74091408,23
湖口,新竹縣,64,臭氧八小時,普通,0.8,0.24,62,59,10,9,6,7.5,0.7,3.8,59,"2025-05-11 15:00",,0.2,9.1,13,0,121.03886894,24.90009696,22
龍潭,桃園市,54,臭氧八小時,普通,0.8,0.26,61,56,8,11,7,9.4,1.6,1.8,77,"2025-05-11 15:00",,0.2,9.6,9,0,121.21645772,24.86400048,21
平鎮,桃園市,51,臭氧八小時,普通,0.2,0.32,58,55,11,8,11,11.6,0.3,1.6,69,"2025-05-11 15:00",,0.3,8.9,12,0,121.203986,24.952786,20
觀音,桃園市,77,臭氧八小時,普通,1.6,0.23,63,63,7,8,7,8.4,0.8,4.7,91,"2025-05-11 15:00",,0.2,11.6,12,1,121.08283092,25.03556747,19
大園,桃園市,54,臭氧八小時,普通,1.6,0.26,61,56,11,9,13,14.6,1.2,3,65,"2025-05-11 15:00",,0.2,8.9,17,1,121.20251473,25.06100357,18
桃園,桃園市,64,臭氧八小時,普通,0.7,0.31,64,59,12,4,7,8.4,1.1,1.4,53,"2025-05-11 15:00",,0.3,8.3,11,0,121.30500531,24.9947107,17
大同,臺北市,62,二氧化氮,普通,0.9,0.8,22,27,18,17,40,65.1,24.7,-,-,"2025-05-11 15:00",,0.7,14.7,17,0,121.51342074,25.06331455,16
松山,臺北市,49,,良好,1.3,0.24,62,53,6,10,10,10.4,0.3,1.6,68,"2025-05-11 15:00",,0.2,11.4,12,1,121.578611,25.05,15
古亭,臺北市,61,臭氧八小時,普通,0.4,0.26,59,58,9,9,7,9,1,2.4,66,"2025-05-11 15:00",,0.2,9,13,0,121.529556,25.020608,14
萬華,臺北市,44,,良好,0.6,0.34,52,48,10,6,14,15.5,1.4,1.8,88,"2025-05-11 15:00",,0.3,8.4,12,0,121.507972,25.046503,13
中山,臺北市,46,,良好,0.6,0.32,52,50,12,9,14,15.9,1.5,2.1,81,"2025-05-11 15:00",,0.3,10.7,13,0,121.526528,25.062361,12
士林,臺北市,46,,良好,1.2,0.26,60,50,7,7,7,8.6,0.8,2.8,150,"2025-05-11 15:00",,0.2,7.2,11,1,121.51666356,25.10334003,11
淡水,新北市,64,臭氧八小時,普通,0.7,0.25,59,59,10,8,3,4.2,0.5,1.5,120,"2025-05-11 15:00",,0.2,8.2,15,0,121.449239,25.1645,10
林口,新北市,71,臭氧八小時,普通,0.2,0.23,64,61,9,6,4,4.9,0.4,1,78,"2025-05-11 15:00",,0.2,7.2,8,0,121.36548982,25.07798949,9
菜寮,新北市,46,,良好,0,0.37,52,50,15,11,13,15.4,1.4,1.8,131,"2025-05-11 15:00",,0.3,10,11,0,121.481028,25.06895,8
新莊,新北市,54,臭氧八小時,普通,0.6,0.23,54,56,0,6,11,12.6,1.2,0.6,137,"2025-05-11 15:00",,0.2,7.6,5,0,121.4325,25.037972,7
板橋,新北市,46,,良好,0.5,0.37,52,50,8,6,14,15,1,1.8,100,"2025-05-11 15:00",,0.3,6.3,10,0,121.458667,25.012972,6
土城,新北市,58,臭氧八小時,普通,0.8,0.31,59,57,12,11,8,8.7,0.5,1.3,140,"2025-05-11 15:00",,0.2,11.4,13,0,121.451861,24.982528,5
新店,新北市,54,臭氧八小時,普通,0.9,0.27,61,56,8,6,8,9.3,0.5,1.4,76,"2025-05-11 15:00",,0.2,9.4,12,0,121.537778,24.977222,4
汐止,新北市,67,臭氧八小時,普通,0.2,0.22,65,60,10,8,6,7.5,1,0.5,16,"2025-05-11 15:00",,0.2,13.4,14,0,121.64081,25.06624,2
基隆,基隆市,97,臭氧八小時,普通,1.1,0.22,67,69,14,9,3,4.2,1.2,1.6,93,"2025-05-11 15:00",,0.2,10.2,18,0,121.760056,25.129167,1
屏東(枋山),屏東縣,34,,良好,,,,37,,,,,,,,"2025-05-11 14:00",,0.1,4.2,16,0,120.651472,22.260899,313
臺南（南化）,臺南市,26,,良好,0,0.22,36,28,15,6,2,3.1,0.3,4,337,"2025-05-11 14:00",,0.2,5.7,14,0,120.44583156,23.04562013,312
新北(樹林),新北市,50,,良好,0,0.2,67,54,9,5,5,6.3,0.3,0,69,"2025-05-11 14:00",,0.2,6,10,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,24,,良好,0.1,0.28,37,26,1,0,5,7.2,2,0.4,333,"2025-05-11 14:00",,0.2,2,5,0,120.883858,24.174592,310
屏東(琉球),屏東縣,54,細懸浮微粒,普通,1.4,0.27,41,35,17,12,10,12.9,2.8,3.2,330,"2025-05-11 14:00",,0.4,13.7,21,0,120.37722,22.35222,204
南投（鹿谷）,南投縣,30,,良好,0,0.07,34,32,,,,,,0.2,49,"2025-05-11 14:00",,0.1,2.9,11,0,120.7944772,23.71867609,203
高雄(湖內),高雄市,37,,良好,1.1,0.23,33,31,25,12,9,11.1,1.7,1.3,26,"2025-05-11 14:00",,0.2,9.1,21,0,120.24535,22.87985556,202
宜蘭（三星）,宜蘭縣,33,,良好,0.4,0.28,58,36,13,8,2,3.1,0.8,0.4,13,"2025-05-11 14:00",,0.1,6.9,12,0,121.6565272,24.6757916,201
員林,彰化縣,27,,良好,0.9,0.25,36,21,8,3,5,6.4,1.1,2.1,327,"2025-05-11 14:00",,0.2,6.6,10,0,120.5631893,23.9615945,139
大城,彰化縣,67,臭氧八小時,普通,0.4,0.2,64,60,10,11,3,3.4,0.3,1.6,60,"2025-05-11 14:00",,0.2,10.9,21,1,120.26964167,23.85493056,85
富貴角,新北市,118,臭氧八小時,對敏感族群不健康,0.2,0.17,76,76,24,12,1,1.3,0,4.4,82,"2025-05-11 14:00",,0.1,13,32,0,121.53656894,25.29681695,84
麥寮,雲林縣,47,,良好,0.9,0.22,58,51,17,6,2,4.6,2.2,2.8,14,"2025-05-11 14:00",,0.2,8.6,17,1,120.251825,23.753506,83
關山,臺東縣,34,,良好,0.7,0.19,35,37,3,6,1,2.5,1,1.6,31,"2025-05-11 14:00",,0.2,4.7,7,0,121.161933,23.045083,80
馬公,澎湖縣,77,臭氧八小時,普通,1.1,0.24,64,63,21,8,2,3.4,0.8,3.9,27,"2025-05-11 14:00",,0.2,10.8,23,0,119.566158,23.569031,78
金門,金門縣,48,,良好,1.4,0.21,53,46,32,16,7,8.8,1.2,1.8,32,"2025-05-11 14:00",,0.2,12,24,0,118.312256,24.432133,77
馬祖,連江縣,77,臭氧八小時,普通,0.8,0.21,60,63,20,10,4,5.4,0.5,1.6,338,"2025-05-11 14:00",,0.2,12.4,23,0,119.952724,26.153736,75
埔里,南投縣,25,,良好,1.1,0.2,26,27,2,3,3,5.2,1.5,1.1,274,"2025-05-11 14:00",,0.1,4.5,9,1,120.967903,23.968842,72
復興,高雄市,41,,良好,0.7,0.31,41,36,17,11,10,12.1,1.6,1.6,277,"2025-05-11 14:00",,0.3,10.2,15,0,120.312017,22.608711,71
永和,新北市,46,,良好,0.1,0.4,50,48,17,13,13,16.1,2.5,0.8,117,"2025-05-11 14:00",,0.4,11.5,16,0,121.516306,25.017,70
竹山,南投縣,30,,良好,0.4,0.21,49,32,4,4,5,6.2,1.1,1.6,320,"2025-05-11 14:00",,0.1,7.5,13,0,120.677306,23.756389,69
中壢,桃園市,55,二氧化氮,普通,1.1,0.44,42,35,15,10,28,34,5.8,0.8,351,"2025-05-11 14:00",,0.4,10.9,14,1,121.221667,24.953278,68
三重,新北市,60,二氧化氮,普通,0.5,0.79,27,27,13,11,36,61.6,25.1,-,-,"2025-05-11 14:00",,0.7,11.9,14,0,121.493806,25.072611,67
冬山,宜蘭縣,43,,良好,0.4,0.23,64,46,11,8,6,8,1.2,1.6,0,"2025-05-11 14:00",,0.2,8.9,14,0,121.792928,24.632203,66
宜蘭,宜蘭縣,43,,良好,0.5,0.23,65,46,8,7,4,5,0.8,1.3,112,"2025-05-11 14:00",,0.1,8.6,9,0,121.746394,24.747917,65
陽明,臺北市,93,臭氧八小時,普通,0.3,0.24,70,68,4,0,1,1.6,0.5,3.3,340,"2025-05-11 14:00",,0.2,2.8,7,0,121.529583,25.182722,64
花蓮,花蓮縣,44,,良好,0.8,0.26,70,48,20,8,3,4.1,0.5,2.7,73,"2025-05-11 14:00",,0.2,4.7,14,0,121.599769,23.971306,63
臺東,臺東縣,36,,良好,0.6,0.2,49,39,18,3,3,4.9,1.6,1.8,66,"2025-05-11 14:00",,0.2,5.2,14,0,121.15045,22.755358,62
恆春,屏東縣,41,,良好,0.9,0.13,34,44,6,1,1,3,1.4,3.9,349,"2025-05-11 14:00",,0.1,4.5,9,0,120.788928,21.958069,61
潮州,屏東縣,37,,良好,0.5,0.17,32,29,63,10,3,4.2,0.7,1.2,15,"2025-05-11 14:00",,0.1,7.2,22,0,120.561175,22.523108,60
屏東,屏東縣,28,,良好,1.1,0.21,34,30,13,8,5,6.2,1,1.7,336,"2025-05-11 14:00",,0.2,6.5,12,0,120.488033,22.673081,59
小港,高雄市,40,,良好,0.9,0.29,42,36,20,10,11,13.1,2.1,2.2,324,"2025-05-11 14:00",,0.2,10,16,1,120.337736,22.565833,58
前鎮,高雄市,44,,良好,0.7,0.36,42,38,26,15,10,12.7,2.5,3.2,7,"2025-05-11 14:00",,0.3,11,19,0,120.30833356,22.6044507,57
前金,高雄市,42,,良好,0.3,0.27,44,40,29,16,7,8.7,1.6,3.1,358,"2025-05-11 14:00",,0.2,10.1,25,0,120.28676111,22.63390278,56
左營,高雄市,42,,良好,0.8,0.28,41,36,25,9,8,9.3,1.3,2.4,356,"2025-05-11 14:00",,0.2,10.5,21,0,120.292917,22.674861,54
楠梓,高雄市,48,,良好,1.3,0.25,38,36,26,16,7,8,0.8,1.7,342,"2025-05-11 14:00",,0.2,12,22,1,120.328289,22.733667,53
林園,高雄市,42,,良好,0.9,0.34,40,32,28,15,10,11.9,1.2,2.7,22,"2025-05-11 14:00",,0.3,10.1,25,0,120.41175,22.4795,52
大寮,高雄市,45,,良好,0.6,0.21,41,33,22,10,5,5.9,0.9,2.1,306,"2025-05-11 14:00",,0.2,11.2,21,0,120.425311,22.56413611,51
鳳山,高雄市,58,細懸浮微粒,普通,1.4,0.48,40,35,21,13,10,11.8,1.4,1.3,278,"2025-05-11 14:00",,0.4,15.2,20,1,120.357422,22.628126,50
仁武,高雄市,42,,良好,0.3,0.32,38,34,18,14,7,9,1,2.4,338,"2025-05-11 14:00",,0.3,10.5,16,1,120.332631,22.689056,49
橋頭,高雄市,43,,良好,0.5,0.26,40,36,25,15,5,7.4,1.5,2.6,2,"2025-05-11 14:00",,0.2,10.7,21,0,120.305689,22.757506,48
美濃,高雄市,29,,良好,0.6,0.2,34,30,8,5,2,2.4,0.3,0.9,270,"2025-05-11 14:00",,0.2,7.1,10,0,120.530542,22.883583,47
臺南,臺南市,45,,良好,0.5,0.21,42,38,17,10,7,8.9,1.3,3,8,"2025-05-11 14:00",,0.2,11.1,21,0,120.21947897,22.98928311,46
安南,臺南市,47,,良好,0.5,0.24,43,39,19,7,4,5.8,1.2,2.8,343,"2025-05-11 14:00",,0.2,11.7,20,0,120.2175,23.048197,45
善化,臺南市,40,,良好,0.8,0.17,39,33,14,9,3,4.3,1.2,3.3,11,"2025-05-11 14:00",,0.2,9.8,19,1,120.29740529,23.11337642,44
新營,臺南市,44,,良好,0.3,0.21,50,37,10,7,3,3.4,0.2,3.6,14,"2025-05-11 14:00",,0.2,11,16,0,120.31725,23.305633,43
嘉義,嘉義市,39,,良好,2.5,0.28,53,38,7,7,6,7.3,0.7,3.2,15,"2025-05-11 14:00",,0.2,9.6,16,2,120.44125148,23.46477865,42
臺西,雲林縣,51,臭氧八小時,普通,0.8,0.2,59,55,21,4,2,3.1,0.4,3.2,30,"2025-05-11 14:00",,0.2,7,20,1,120.19933333,23.702175,41
朴子,嘉義縣,42,,良好,0.9,0.18,58,45,8,8,3,3.9,0.5,1.4,1,"2025-05-11 14:00",,0.1,9.5,13,1,120.2478,23.46538,40
新港,嘉義縣,40,,良好,1.3,0.19,60,43,6,7,4,4.9,0.8,3.3,18,"2025-05-11 14:00",,0.2,7.7,12,1,120.345531,23.554839,39
崙背,雲林縣,40,,良好,0.9,0.24,55,43,11,9,3,4.1,0.6,2.3,37,"2025-05-11 14:00",,0.2,7.2,13,0,120.348742,23.757547,38
斗六,雲林縣,37,,良好,0.9,0.24,64,38,12,6,3,5.1,1.9,2.4,335,"2025-05-11 14:00",,0.2,9.2,16,1,120.544994,23.711853,37
南投,南投縣,32,,良好,0.5,0.26,59,35,11,7,6,7.5,0.8,2,330,"2025-05-11 14:00",,0.2,6.8,14,0,120.685306,23.913,36
二林,彰化縣,44,,良好,0.8,0.23,61,47,20,8,2,2.6,0.6,3.3,39,"2025-05-11 14:00",,0.2,8,21,1,120.409653,23.925175,35
線西,彰化縣,45,,良好,0.8,0.22,58,49,9,9,9,10.5,1.3,4,35,"2025-05-11 14:00",,0.2,9.3,14,1,120.469061,24.131672,34
彰化,彰化縣,37,,良好,0.5,0.27,52,40,6,4,8,9.5,0.6,1.8,24,"2025-05-11 14:00",,0.2,5.9,9,0,120.541519,24.066,33
西屯,臺中市,42,,良好,0.8,0.22,61,45,7,5,4,5.2,0.8,3.6,8,"2025-05-11 14:00",,0.2,6.9,13,0,120.616917,24.162197,32
忠明,臺中市,36,,良好,1.6,0.29,53,39,4,4,7,8.6,1,1.8,0,"2025-05-11 14:00",,0.2,5.9,8,0,120.641092,24.151958,31
大里,臺中市,34,,良好,0.8,0.28,56,37,6,2,7,8.8,1.1,1.2,343,"2025-05-11 14:00",,0.2,6.6,11,0,120.67844444,24.09961111,30
沙鹿,臺中市,45,,良好,0.3,0.24,58,49,8,3,4,5.3,0.7,2.9,352,"2025-05-11 14:00",,0.2,6.3,15,0,120.568794,24.225628,29
豐原,臺中市,34,,良好,0.4,0.23,60,37,8,0,3,3.7,0.7,1.3,34,"2025-05-11 14:00",,0.2,4.3,10,0,120.74252414,24.25699731,28
三義,苗栗縣,38,,良好,0.7,0.22,60,41,1,2,3,4.7,1.6,5.2,15,"2025-05-11 14:00",,0.2,5.5,10,0,120.75956754,24.38248443,27
苗栗,苗栗縣,43,,良好,0.7,0.22,56,46,4,8,5,6.3,1.2,2,24,"2025-05-11 14:00",,0.2,8.9,12,1,120.82011468,24.56499183,26
頭份,苗栗縣,44,,良好,1,0.26,55,48,10,7,8,10,1.4,2.6,63,"2025-05-11 14:00",,0.2,9.5,14,1,120.89869286,24.69690679,25
新竹,新竹市,48,,良好,0,0.27,56,52,5,9,9,10.3,0.8,1.8,70,"2025-05-11 14:00",,0.2,10.2,10,0,120.97236752,24.8056356,24
竹東,新竹縣,40,,良好,0.3,0.23,61,43,7,4,4,5.8,1,0.8,30,"2025-05-11 14:00",,0.2,4.5,10,0,121.08895493,24.74091408,23
湖口,新竹縣,58,臭氧八小時,普通,0.7,0.24,61,57,14,9,6,7.3,0.8,3.1,53,"2025-05-11 14:00",,0.2,8.7,15,0,121.03886894,24.90009696,22
龍潭,桃園市,49,,良好,0.7,0.28,58,53,9,11,10,11.9,1.7,2,50,"2025-05-11 14:00",,0.2,8.8,10,0,121.21645772,24.86400048,21
平鎮,桃園市,50,,良好,0.4,0.31,59,54,14,11,11,11.7,0.4,2,66,"2025-05-11 14:00",,0.2,9,13,0,121.203986,24.952786,20
觀音,桃園市,71,臭氧八小時,普通,1.3,0.23,60,61,13,11,6,7.5,0.7,3.2,96,"2025-05-11 14:00",,0.1,12.8,15,1,121.08283092,25.03556747,19
大園,桃園市,49,,良好,1.3,0.25,59,53,16,8,13,14.4,1.3,3.6,61,"2025-05-11 14:00",,0.2,9,19,1,121.20251473,25.06100357,18
桃園,桃園市,58,臭氧八小時,普通,0.6,0.29,64,57,10,8,6,7.7,1,2.1,24,"2025-05-11 14:00",,0.3,9,11,0,121.30500531,24.9947107,17
大同,臺北市,60,二氧化氮,普通,0.9,0.75,28,27,15,16,36,53,16.7,-,-,"2025-05-11 14:00",,0.6,15.2,18,0,121.51342074,25.06331455,16
松山,臺北市,51,細懸浮微粒,普通,1.2,0.27,52,51,10,13,14,15.1,0.7,1.8,60,"2025-05-11 14:00",,0.2,12.5,15,1,121.578611,25.05,15
古亭,臺北市,54,臭氧八小時,普通,0.5,0.25,58,56,12,6,7,8.4,1.2,1.3,64,"2025-05-11 14:00",,0.2,9.5,14,0,121.529556,25.020608,14
